ID	Name	DisplayName	Perform	Broadcast	MaxLootRange	bCanPK	bCanDuel	Type	MaxCopyCount	FarmerMaxCopyCount	MinPlayerCount	MaxPlayerCount	MaxFullLevelPlayerCount	MaxFarmerCount	KeepTime	ManualReset	RefreshCycle	RefreshOffset	MapDrop	ReviveInSitu	UseLastEntry	LimitTimes	BanSkillMask	BattleRelationMask	RevieCycle	AllScenePlayerInFight	ResourcePath	LoginIntervalTime	PreQueuePlayerCount	DoNotGoThroughRoof	QuestCountAchID	CampType	FightList	NeedCampBuff	MaxMapLevel	bCanTongWar	CanJoinBattleField	BanUseItemMask	CanJoinArena	IsArenaMap	NewCampFight	CanJoinTongBattlefield	MapCostThew	InvalidBuffMask	SingleMap	BanChangeTalent	CanSprint	DisableChangeEquip	DisableTalk	QueueForSwitchWhenFull	CampQueue	MaxNeutralPlayerCount	MaxGoodPlayerCount	MaxEvilPlayerCount	InvalidEnchantMask	ForceCheckProgress	IsTongWarMap	MaxCastleVIPPlayerCount	CanJoinCastleVIPQueue	BanTradeItemMask	CanTradeMoney	BanEquipItemMask	CanExistItemMask	IsBattlefield	IsDungeonRoleProgressMap	MapCostVigor
1	稻香村	稻香村	100	1	2	0	0	3	64		1	120			10	0	0	0	15	1	0	0	0	0	0	0	data\source\maps\稻香村\稻香村.jsonmap	20	0	0	375	1	0	0	0	0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0		0	0	1	1	1	0			
2	万花	万花	100	1	2	0	1	0	1		1	1800	1500		10	0	0	0	10	1	0	0	0	0	0	0	data\source\maps\万花\万花.jsonmap	0	0	0	378	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
3	1024_蓝天白云	1024_蓝天白云	100	2	4	1	1	0	1		1	1200			10	1	0	0		1	1	5	0	0	0	0	data\source\maps\1024_蓝天白云\1024_蓝天白云.jsonmap	0	0	0		5	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
5	少林	少林	100	2	2	0	1	0	1		1	1800	1500		10	0	0	0	7	1	0	0	0	0	0	0	data\source\maps\少林\少林.jsonmap	0	0	0	376	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
6	扬州	扬州	100	1	2	0	1	0	1		1	1500	1200		10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\扬州\扬州.jsonmap	0	0	0	384	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
7	纯阳	纯阳	100	2	2	0	1	0	1		1	1800	1500		10	0	0	0	5	1	0	0	0	0	0	0	data\source\maps\纯阳\纯阳.jsonmap	0	0	0	377	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
8	洛阳	洛阳	100	1	2	0	1	0	1		1	1500			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\洛阳\洛阳.jsonmap	0	0	0	786	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
9	洛道	洛道	100	1	2	1	1	0	1		1	1800			10	0	0	0	21	1	0	0	0	0	0	0	data\source\maps\洛道\洛道.jsonmap	0	0	0	386	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
10	寇岛	寇岛	100	1	4	1	1	0	1		1	1024			10	0	0	0	12	1	0	0	0	0	0	0	data\source\maps\寇岛\寇岛.jsonmap	0	0	0	387	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
11	天策	天策	100	2	2	0	1	0	1		1	1800	1500		10	0	0	0	9	1	0	0	0	0	0	0	data\source\maps\天策\天策.jsonmap	0	0	0	380	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
12	枫华谷	枫华谷	100	1	2	1	1	0	1		1	1024			10	0	0	0	21	1	0	0	0	0	0	0	data\source\maps\枫华谷\枫华谷.jsonmap	0	0	0	388	4	0	0		1	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
13	金水镇	金水镇	100	1	2	1	1	0	1		1	1800			10	0	0	0	1	1	0	0	0	0	0	0	data\source\maps\金水镇\金水镇.jsonmap	0	0	0	389	4	0	0		1	1	0	1	0	1	1		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
14	灵霄峡	灵霄峡	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\灵霄峡\灵霄峡.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50
15	长安	长安	100	1	2	0	1	0	1		1	1500			10	0	0	0	3	1	0	0	16	0	0	0	data\source\maps\长安\长安.jsonmap	0	0	0	383	1	0	0		0	1	0	1	0	0	1		16	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
16	七秀	七秀	100	1	2	0	1	0	1		1	1800	1500		10	0	0	0	6	1	0	0	0	0	0	0	data\source\maps\七秀\七秀.jsonmap	0	0	0	379	1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
17	天工坊	天工坊	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\天工坊\天工坊.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50
18	无盐岛	无盐岛	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\无盐岛\无盐岛.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50
19	空雾峰	空雾峰	100	2	4	0	0	1	128		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\空雾峰\空雾峰.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50
20	天地三才阵	天地三才阵	100	2	4	0	0	1	4096		1	5			2	1	1440	420		0	1	0	131	0	0	0	data\source\maps\天地三才阵\天地三才阵.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			50
21	巴陵县	巴陵县	100	1	2	1	1	0	1		1	1024			10	0	0	0	21	1	0	0	0	0	0	0	data\source\maps\巴陵县\巴陵县.jsonmap	0	0	0	393	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
22	南屏山	南屏山	100	1	2	1	1	0	1		1	800			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\南屏山\南屏山.jsonmap	0	0	0	392	5	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
23	龙门荒漠	龙门荒漠	100	1	2	1	1	0	1		1	1800			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\龙门荒漠\龙门荒漠.jsonmap	0	0	0	390	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
25	浩气盟	浩气盟	100	1	2	0	1	0	1		1	1200			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\浩气盟\浩气盟.jsonmap	0	0	0	781	5	0	1		0	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
26	荻花宫前山	荻花宫前山	100	2	4	0	0	1	128		1	5			2	0	1440	420		0	1	0	131	0	0	0	data\source\maps\荻花宫前山\荻花宫前山.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65
27	恶人谷	恶人谷	100	1	2	0	1	0	1		1	1200			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\恶人谷\恶人谷.jsonmap	0	0	0	406	5	0	1		0	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
28	日轮山城	日轮山城	100	2	4	0	0	1	128		1	5			2	0	1440	420		0	1	0	131	0	0	0	data\source\maps\日轮山城\日轮山城.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65
29	五十级云湖天池	五十级云湖天池	100	4	5	0	0	2	512		1	24			10	0	0	0		0	1	0	256	2	160	0	data\source\maps\五十级云湖天池\五十级云湖天池.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0			
30	昆仑	昆仑	100	1	2	1	1	0	1		1	800			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\昆仑\昆仑.jsonmap	0	0	0	391	5	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
31	特殊光照地图1	特殊光照地图2	100	1	2	0	0	0	1		1	64			10	0	0	0		1	0	0	0	0	0	0	data\source\maps\特殊光照地图1\特殊光照地图1.map	0	0	0		1	0	0		0	0	0	0	0	0	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
32	战宝迦兰	战宝迦兰	100	2	6	0	0	1	256		1	10			2	0	4320	420		0	1	0	131	0	0	0	data\source\maps\战宝迦兰\战宝迦兰.jsonmap	0	0	1		1	1	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			
33	天子峰	天子峰	100	2	4	0	0	1	128		1	5			10	0	1440	420		0	1	0	131	0	0	0	data\source\maps\天子峰\天子峰.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			75
34	风雨稻香村	风雨稻香村	100	2	4	0	0	1	128		1	5			2	0	1440	420		0	1	0	131	0	0	0	data\source\maps\风雨稻香村\风雨稻香村.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65
35	瞿塘峡	瞿塘峡	100	1	2	1	1	0	1		1	1024			10	0	0	0	22	1	0	0	0	0	0	0	data\source\maps\瞿塘峡\瞿塘峡.jsonmap	0	0	0	789	4	0	0		1	0	0	0	0	1	0		0	0	0	1			1	0	0	0	0	2	0				1	1	1	0			
36	英雄天地三才阵	英雄天地三才阵	100	2	4	0	0	1	256		1	5			2	0	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄天地三才阵\英雄天地三才阵.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65
37	英雄天工坊	英雄天工坊	100	2	4	0	0	1	256		1	5			2	0	1440	420		0	1	0	131	0	0	0	data\source\maps\英雄天工坊\英雄天工坊.jsonmap	0	0	0		1	0	0		0	0	0	0	0	0	0		131	0	0	0			1	0	0	0	0	1	1				1	1	1	0			65
38	神农洇	神农洇	100	4	5	0	0	2	512		1	34			2	0	0	0		0	1	0	0	2	160	0	data\source\maps\神农洇\神农洇.jsonmap	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1		
39	四十级云湖天池	四十级云湖天池	100	4	5	0	0	2	512		1	24			2	0	0	0		0	1	0	256	2	160	0	data\source\maps\四十级云湖天池\四十级云湖天池.map	0	0	0		5	0	0		0	0	0	0	0	0	0		256	0	0	1			1	0	0	0	0	2	0				2	0	1	0	1		
