ID	Level	Desc
639	1	<text>text="“帝骖龙翔”招式调息时间减少2秒" font=105 </text>
640	1	<text>text="“捉影式”招式调息时间减少3秒" font=105 </text>
641	1	<text>text="“突”招式调息时间减少3秒" font=105 </text>
642	1	<text>text="“水月无间”招式调息时间减少6秒" font=105 </text>
644	1	<text>text="“醉月”招式调息时间减少1秒" font=105 </text>
645	1	<text>text="“人剑合一”招式调息时间减少1秒" font=105 </text>
646	1	<text>text="“三才化生”招式调息时间减少2秒" font=105 </text>
810	1	<text>text="“蛊虫献祭”招式调息时间减少3秒" font=105 </text>
817	1	<text>text="“阳明指”伤害提高10%" font=105 </text>
817	2	<text>text="“龙牙”伤害提高10%" font=105 </text>
818	1	<text>text="“无我无剑”伤害提高10%" font=105 </text>
818	2	<text>text="“万世不竭”伤害提高10%" font=105 </text>
818	3	<text>text="“剑气长江”伤害提高10%" font=105 </text>
818	5	<text>text="“韦陀献杵”伤害提高10%" font=105 </text>
818	6	<text>text="“云飞玉皇”伤害提高10%" font=105 </text>
818	7	<text>text="“蝎心”伤害提高10%" font=105 </text>
946	1	<text>text="“夺魄箭”伤害提高10%" font=105 </text>
947	1	<text>text="“蚀肌弹”伤害提高10%" font=105 </text>
948	1	<text>text="“雷震子”招式调息时间减少5秒" font=105 </text>
948	2	<text>text="“净世破魔击”伤害提高10%" font=105 </text>
948	3	<text>text="“怖畏暗刑”招式调息时间减少4秒" font=105 </text>
948	4	<text>text="“龙战于野”伤害提高10%" font=105 </text>
1131	1	<text>text="“阳明指”会心几率提高5%" font=101 </text>
1132	1	<text>text="“提针”会心几率提高5%" font=101 </text>
1133	1	<text>text="“龙牙”会心几率提高5%" font=101 </text>
1134	1	<text>text="“龙牙”产生的威胁值提高10%" font=101 </text>
1135	1	<text>text="“无我无剑”会心几率提高5%" font=101 </text>
1136	1	<text>text="“四象轮回”会心几率提高5%" font=101 </text>
1137	1	<text>text="“剑气长江”会心几率提高5%" font=101 </text>
1138	1	<text>text="“回雪飘摇”会心几率提高5%" font=101 </text>
1139	1	<text>text="“韦陀献杵”会心几率提高5%" font=101 </text>
1140	1	<text>text="“立地成佛”产生的威胁值提高10%" font=101 </text>
1141	1	<text>text="“听雷”会心几率提高5%" font=101 </text>
1142	1	<text>text="“夕照雷峰”会心几率提高5%" font=101 </text>
1143	1	<text>text="“蝎心”会心几率提高5%" font=101 </text>
1144	1	<text>text="“冰蚕牵丝”会心几率提高5%" font=101 </text>
1145	1	<text>text="“夺魄箭”会心几率提高5%" font=101 </text>
1146	1	<text>text="“蚀肌弹”会心几率提高5%" font=101 </text>
1147	1	<text>text="“拿云式”伤害提高10%" font=105 </text>
1148	1	<text>text="“幽月轮”会心几率提高5%" font=101 </text>
1149	1	<text>text="“赤日轮”会心几率提高5%" font=101 </text>
1150	1	<text>text="“幽月轮”产生的威胁值提高10%" font=101 </text>
1151	1	<text>text="“赤日轮”产生的威胁值提高10%" font=101 </text>
1177	1	<text>text="“镇山河”招式调息时间减少25秒" font=105 </text>
1178	1	<text>text="“转乾坤”招式调息时间减少10秒" font=105 </text>
1179	1	<text>text="“守如山”招式调息时间减少10秒" font=105 </text>
